artist,track,album,label,
Bleachers,i'm not joking,,
Rapeman,Just Got Paid,,
Buzzcocks,Ever Fallen In Love (With Someone You Shouldn't've),,,
Talk Talk,"Life's What You Make It (1997 Remaster)",Life's What You Make It,
BODEGA,Pick up the Check,,
Father John Misty,Heart-Shaped Box - Sirius XM Session,"I Love You, Honeybear Demos, etc.",Sub Pop
Father John Misty,The Payoff,I Love You, Honeybear Demos, etc.,Sub Pop
Suki Waterhouse,Tiny Raisin,,
Suki Waterhouse,Back in Love,Back in Love,Sub Pop Records
Art Of Noise feat. Tom Jones,"Kiss (feat. Tom Jones) (feat. Tom Jones)",,,
Gelli Haha,Klouds Will Carry Me To Sleep,Switcheroo,Innovative Leisure
Little Barrie,More Bad Miles Of Road,More Bad Miles Of Road,
King Gizzard & The Lizard Wizard,Iron Lung,,
U.S. Girls,"You've Got Everything - But A Smile (Theme from "Dead Lover")","You've Got Everything - But A Smile (Theme from "Dead Lover")",
Thee Oh Sees,Joro,Cara Maluco,
Nightmares On Wax & Adrian Sherwood,You Bliss,,
The Mars Volta,Equus 3,,
Dinosaur Jr.,Start Choppin,,
The Glands,So High,,
Cameron Winter,Love Takes Miles,,
The Church,Under the Milky Way,,
Mandy, Indiana,ist halt so,Dodecahedron,Sacred Bones
Friko,Still Around,,
Guided By Voices,"When You're My Clown (Nothing Happens)",We Outlast Them All,Rockathon
Jack White,Bulldog Skin,,
Buck Meek,G.O.D. And The Broken Ribs,,
Aldous Harding & H. Hawkline,Gasoline,Venus in the Zinnia,4AD
Kurt Vile,Venus in the Zinnia,,
Twisted Teens,Chance to Bleed,,
Lava La Rue,Who Could It Be?,Starface,Dirty Hit
Massive Attack feat. Tom Waits,Scratches,Boots on the Ground,PIAS
Fontaines D.C. & War Child Records,Boots on the Ground,HELP(2),War Child Records
Karen Dalton,Black Boys on Mopeds,,
Sluice,Something On Your Mind,Companion,Seasick Records
Mitski,Beadie,Nothing's About To Happen To Me,Dead Oceans
Cate Le Bon,"Where's My Phone?",Mug Museum,Turnstile
Toadies,Are You with Me Now?,Toadies,,
The Charmer,The Charmer,,
Olive Jones,Kingdom,For Mary,,
Kingdom,For Mary,,